<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>朝發</title>,<text>橋頭畫角響朝暾。橋下淸波帶雨痕。着岸雜花靑草合。連堤新柳綠烟繁。叱牛聲緩心應靜。驅馬行忙意自煩。一犬寥寥驚吠客。深林知有兩三村。</text>
<title>石潭瑤琴亭</title>,<text>九曲淸溪上。瑤琴有古亭。川魚游潑潑。林鳥喚惺惺。弦誦松傳響。詩書地護靈。巖花春欲薦。征袂浥芳馨。</text>
<title>祇拜紹賢書院。仍登聽溪堂。堂是栗谷先生舊堂址也。</title>,<text>隱屛一曲畫屛如。溪上祠堂比古廬。湍駛潭渟皆智水。樓高亭曠摠仁居。花含細雨春依舊。松帶淸風籟出虛。最恨未酬當日志。床頭寂寂有全書。</text>
<title>族叔參判公 羲臣氏 按節海西。族祖尙書公以板輿就養于營中。余時在瑞興。與仲男吉周往拜。遂設宴於芙蓉堂。尙書公之從孫敬謨，觀察公之子淳謨在營。族叔 羲韺氏 適來幕府。有致浩羲民。同姓會者凡九人。</title>,<text>澹蕩春光暎碧城。芙蓉別舘勝筵成。板輿高坐耆英貴。彩服歡趍刺史榮。瑤果盈盤呈妙舞。蘭舟泛席唱嬌聲。異鄕花樹眞佳會。情重何妨禮數輕。</text>
<title>途中</title>,<text>細雨山前駐小車。杏花多處有人家。日暮東風啼鳥歇。野溪烟起斷橋斜。</text>
<title>徐令表民 有望 來省其姊。遂與登北園有賦。</title>,<text>滿園芳草綠。首夏正淸和。落日留高閣。携筇上北坡。故人勞遠駕。佳會脫沈痾。君髮今云白。吾衰復奈何。</text>
<title>敬次伯氏寄示金剛路中韻 二首</title>,<text>白日朝朝來自東。飛烏不學鴈書通。千里鴒原相憶意。都憑山色水聲中。棣萼迢迢西隔東。蓬萊一路夢魂通。玉節行春消息遠。綵雲遙望洞天中。</text>
<title>次仲兒韻</title>,<text>四月西州萬木靑。蒲軒無事掩深扃。流鶯喚曉花間見。布穀啼晴野外聽。鏡對朝牕空暎雪。劒藏塵匣自衝星。隴山爽氣來相襲。分付官僮卷幔屛。</text>
<title>次杜</title>,<text>村容烟裏靜。山色雨中迷。樹密黃鸝囀。園深白鶴棲。飛花空遠近。鳴磬自高低。漫興渾無賴。時還禿筆携。</text>
<title>呼韻共賦</title>,<text>草暗烟生處。山明雨歇時。薔薇垂石井。芍藥暎盆池。歌曲依鶯轉。鞦韆競鳥隨。登樓催捲箔。坐待月來窺。</text>
<title>敬次伯氏雪嶽韻</title>,<text>梅老淵翁一揆淸。崢嶸雪嶽與齊名。茅菴誰復攀高躅。台閣雲臺莫敢爭。</text>
<title>敬次伯氏巡路寄示韻</title>,<text>玉節行巡大海濱。風微雨細不生塵。魚龍溟渤澄淸日。花鳥蓬萊浩蕩春。女悅男欣知浹惠。山畊浦採豈憂貧。隴西坐失追遊壯。吏隱虛名愧此身。</text>
<title>次兒輩詠月韻</title>,<text>團團出東海。老兎夜騎龍。天地通虛影。山河合幻容。明驚藏葉鳥。暗照宿花蜂。欲問姮娥處。瓊樓十二重。</text>
<title>次杜</title>,<text>細雨過南畝。耘歌處處閒。欣欣開野色。肅肅洗林顔。漫詠陶潛賦。遙看謝朓山。村烟生遠近。更逐白雲還。</text>
<title>秋江泛舟。得浮字。</title>,<text>前宵霜落漢南洲。蘆荻蕭蕭十里秋。明月淸風來極浦。短琴長笛載扁舟。擧帆驚起眠沙鴈。牽纜爭還浴浪鷗。樓磬響隨疎葉墜。漁燈影倂遠星浮。洞庭酒市雲邊在。赤壁簫聲水上留。仙女相逢非可願。伊人底處更爲求。躍回撥剌魚知樂。溯去空明客忘愁。一葦凌波如有助。江神應亦識淸游。</text>
<title>訪名山。得岱字。</title>,<text>許由隱於箕。仲尼登彼岱。我亦欲訪山。名山列海內。選勝將何向。金剛屹無對。玉立萬二千。峰峰仙佛配。萬瀑貫其中。吼雷或鳴佩。毗盧出東極。蓬海眼底在。烟霞隨處明。日月無時晦。不見熊豹嘷。但聞鸞鳳吠。弱冠早領畧。倏忽四十載。巖壑勞夢魂。雲嵐鎖肝肺。東望撚白鬚。筇屐料理再。嶽靈欣宿緣。路熟行不礙。知應信息大。瓊瑤洗蒼黛。如來掃寶榻。安期調丹鼐。膏車秋爲期。淸風吹大塊。</text>
<title>賞花得靑字</title>,<text>千樹桃紅李白。萬重雲紫烟靑。春入河陽古縣。人歸洛水名亭。</text>
<title>冬夜讀書。得徐字。</title>,<text>銀壺凍不滴。寒夜五更徐。座上無纖壒。床頭有古書。梅橫短琴靜。雪暎小牕虛。儼若臨羣聖。時回太古初。</text>
<title>天河</title>,<text>天半橫流一道河。瓊樓秋夜水聲多。萬歲瑤皇臨上聖。詞仙日日頌淸波。</text>
<title>扶桑</title>,<text>東海東頭誰種桑。靈根瑞榦欝蒼光。天孫採葉仙蠶飽。織得機絲萬丈長。</text>
<title>詠菊</title>,<text>幽人性愛花。最愛九月菊。紅荷敗曲池。碧蘭委空谷。百卉俱凋落。爾獨吐芳馥。華共秋霜潔。色將正氣肅。採以淵明手。充於靈均腹。歲晩誰復賞。英英繞我屋。相對兩不厭。香風長穆穆。</text>
<title>次杜</title>,<text>疎雨聽樓外。凉風灑樹間。橋崩仍漲水。野闊更殘山。村媼芟蒿去。官僮采藥還。斜陽爛佳色。滿岸草花斑。</text>
<title>新秋夜凉。次杜。</title>,<text>岸頭高閣太虛凌。滿目雲霞爛蔚蒸。山雨霏微和霧下。野烟孤直向天升。古來賢者皆藏玉。今世何人可語氷。獨臥隴西吟白髮。華車駟馬任他乘。</text>
<title>雨後登北亭</title>,<text>避暑登高臺。秋期轉覺催。林風微欲斷。山雨細仍開。烟濕遲遲上。溪深滚滚來。不禁鄕思動。惆悵望蓬萊。</text>
<title>哀崔座首景祚 二首</title>,<text>心公識達百夫良。扶弱由來肯吐剛。千秋不愧岑公孝。賴得梅堂坐嘯長。才能奚但一鄕賢。善事都由不愛錢。寡婦孤兒無賴活。悲風秋夜咽龍泉。</text>
<title>秋日偶吟要和</title>,<text>新凉入官閣。頓覺琴書淸。盤果仙香爛。庭花異色明。螢殘猶剩照。蟬老有餘聲。四見秋光晩。歸心日夜生。</text>
<title>次杜 三首</title>,<text>獨立山樓逈。淸秋興不羣。泉聲過白雨。野色遍黃雲。憑檻孤峰出。開簾遠樹分。千家朝日淨。鳴鳥可堪聞。菊蕊垂傾砌。匏花覆短墻。坐高蟬語近。望遠鳥飛長。畫椀僮斟茗。金爐妓爇香。他鄕秋又至。搔首惜年光。隴樹秋風夜欲寒。官齋燒燭坐更殘。蟲聲切切空中聽。螢火輝輝暗裏看。久客殊方身自慣。思歸故國夢猶難。養來老病慚溫飽。但願謳歌百堵安。</text>
<title>九月初一日。次杜。二首</title>,<text>天碧纖雲點綴微。山高露冷早鴻飛。風來官閣琴書淨。晝掩公門簿牒稀。殘夜思家推旅枕。淸晨望闕整朝衣。吾廬遙憶東湖處。煙月滄波待我歸。月輪初現一絲微。露脚橫斜草上飛。煙鎖溪橋人影散。暝生園樹鳥聲稀。壯心此夜催鳴角。纖手誰家亂搗衣。野逕寥寥遙見火。村翁摘黍叱牛歸。</text>
<title>次杜</title>,<text>露白重陽近。秋光滿隴西。天長孤鴈去。木落衆禽啼。望野愁禾黍。臨盤愧藿藜。懷歸搔首坐。官道暮煙迷。</text>
<title>向善積路中</title>,<text>盡日輕車峽路長。蕭蕭征袂曬秋陽。奇巖苔老千年雪。絶壁楓明九月霜。村犬驚人羣吠走。溪禽逐侶共鳴翔。回看蔀屋多艱苦。况復荒田使我傷。</text>
<title>善積鎭</title>,<text>峽裏旋平陸。奇峰左右廻。恠禽巢壁罅。矮屋繞溪隈。禾黍黃雲合。楓松彩畫開。關防無所用。端合避塵來。</text>
<title>迎巡相 卽族叔 夜話後口占</title>,<text>玉節銅符兩笑看。秋宵客舍盡情歡。說盡蒼生燒盡燭。官娥簾外不勝寒。</text>
<title>虜敗嶺以北。巖壁溪流可愛。</title>,<text>南北坊分一嶺危。蕭蕭車馬路逶迤。巨流穿峽川聲壯。疊石撑空壁色奇。黃菊紅楓交暎纈。蒼鳩粉蝶共啼窺。名區行色俱堪畫。不識龍泉太守誰。</text>
<title>次杜韻。憶淸潭。</title>,<text>我屋華山下。閒雲鎖洞門。空潭秋水落。虛壁夕陽翻。峰惜主人去。林慚太守尊。明年歸臥處。春滿碧蘿園。</text>
<title>次杜</title>,<text>急飈吹萬木。淅瀝怒號晨。倍憶蓬壺客。深憐蔀屋人。衰翁憑枕穩。老婦問衣頻。相對孤燈照。披襟兩見眞。</text>
<title>點兵犒賞。呼韻共賦。二首</title>,<text>莫笑腐儒老。少時曾讀兵。胷中韜畧壯。掌上陣圖明。願切胡塵掃。心違鬢雪生。今朝空饗士。彈劒不勝情。井井先王制。村農本是兵。陣容時組練。軍令在嚴明。疎畧愁非古。昇平幸此生。始知湯火易。一飽見羣情。</text>
<title>晴後。和杜晴韻。</title>,<text>西風吹雨去。疎響滿空林。山日揚新旭。溪雲罷宿陰。葉殘能復潤。水落更還深。化跡難摸狀。無心勝有心。</text>
<title>次杜 二首</title>,<text>雨歇斜陽晴遠樹。行人歷歷柳邊橋。林端風急禽聲亂。隴外天長鴈影遙。頻問二男歸幾日。偏懷稚子値生朝。徘徊忽看西峰月。丹桂婆娑露一條。十月初七日。卽顯周生日故第六云。畫屛銀燭忽生寒。月落河傾夜向殘。鶴唳風聲高閣聽。鴈橫秋色遠天看。疎慵倚枕眠還足。老病扶筇步亦難。不辨他鄕非故土。虛心隨處一身安。</text>
<title>大雪。次杜對雪韻。</title>,<text>大雪淸晨下。瓌觀起病翁。擁山藏出日。繞樹逐旋風。壓盡疎林綠。埋餘晩菊紅。乾坤通一色。洞徹若虛空。</text>
<title>奭兒因事違行期。次杜寄示以戒。</title>,<text>寥寥歲云暮。不復問行期。古鏡塵蒙日。神鋩繡澀時。聖人猶有速。君子豈徒遲。欺侮非人咎。滄浪亦在玆。</text>
<title>次杜 三首</title>,<text>塵中搔鬢白。物外拭眸靑。芳草開幽徑。閒雲繞古亭。無求還自得。不醉更何醒。相對心如水。深更臥掩屛。雨過沙逾白。煙來草失靑。高樓坐寂寂。落日下亭亭。晩計談偕隱。浮生笑獨醒。鄕山杳難望。隴峀似圍屛。白髮慚明鏡。行裝道遠迷。隴西淹旅宦。華北阻幽棲。櫪驥寒嘶迥。林禽倦翅低。來春芳草路。笑共鹿車携。</text>
<title>和唐詩湘中送人韻</title>,<text>寒波如鏡淨無煙。一色空明上下天。竹葉哀音風動瑟。梅花別恨月移船。淸猿啼盡離樽倒。孤鴈飛過去帆懸。忽聽踏歌愁白雪。他鄕送客又殘年。</text>
<title>夜見兒輩書。次杜以記。時長兒直內閣。仲兒從楓嶽還。季兒有詩篇。</title>,<text>向夜兒書至。燈花正爛開。久淹奎閣直。歷覽海山來。拭眼看詩句。寬懷勝酒杯。人情苦無厭。更待驛騎回。</text>
<title>次放翁韻</title>,<text>長空雲翳散。明月破羣昏。淸鏡天邊掛。陽春雪後存。鳥宿梧桐樹。人歌杞菊園。登高心目豁。萬象正堪論。</text>
<title>宮怨</title>,<text>金屋寂無人。春來花自發。空床伴夢誰。惟有梧桐月。</text>
<title>和放翁雙柏韻</title>,<text>雙柏交盤欝。扶持不借人。風霜凌暮歲。雨露浥淸晨。老榦經仙劫。孫枝長艶春。神功由正直。對立勝金身。</text>
<title>和右丞六言 七首</title>,<text>採藥超然獨往。種桃誰與爲隣。今日龍泉老吏。來時鷗浦閒人。衰病百年相對。疎狂一世無雙。興闌何遜東閣。夢懶陶潛北窓。羅帳山前雨歇。龍泉舘外烟斜。日出雲開萬樹。鷄鳴犬吠千家。山川搖落秋盡。星斗闌干夜寒。莫嫌肘後銅印。已着頭邊野冠。黃牛驅去深村。白鶴飛下芳原。寒日欲斜遠樹。幽人獨掩柴門。映日游絲似霧。連天細草如烟。活畫更添鳥語。神功却勝龍眠。避世何慚沮溺。長年欲學喬松。爐中丹火誰煉。月裏玄霜幾舂。</text>
<title>粉圖山水</title>,<text>大川名山眼前聚。靑繚白縈彌寰宇。高爲崑崙低邱垤。大是滄溟小渚浦。水波淼闊接天地。山氣蒼茫成霧雨。洶洶滚滚流莫測。矗矗點點環無數。我有舟檝兼筇屐。千里萬里無辛苦。奇踪百年隱此中。世人咫尺那得覩。更向千古招好伴。少文洞賓與老杜。</text>
<title>春日田家</title>,<text>東風吹四野。春日正晴暄。雨遍公私畝。林深沮溺村。谷鳩催種喚。社燕訪巢飜。理耜晨耕水。荷鋤晩灌園。門無車馬跡。巷有犬鷄喧。釀黍招羣叟。持花弄稚孫。意眞傳古俗。地僻絶塵煩。擊壤歌烟月。桑麻亦忘言。</text>
<title>海上求仙 擬作</title>,<text>赤縣彌虜塵。百年冠屨倒。無地蹈吾足。何處開我抱。東望眼暫豁。渺渺蓬海島。中有羣仙子。摠是英雄老。九轉煉雄圖。長生合大道。羽化足騰鶱。蟬蛻除煩惱。服食且可樂。霞衫與瑤草。此身託有所。從君事幽討。欝欝胷中氣。百劫善養浩。此氣長不壞。特立齊蒼昊。</text>
<title>對酒 三五七言</title>,<text>梨花醲。柏葉薄。春風杯上浮。秋月罇中落。劉伶在左李白右。靈均中立何澹泊。</text>
<title>冬至子夜聯句</title>,<text>璇杓回子夜。晨鼓動新聲。睡翁。 漸覺靑陽逼。那堪白髮生。鄕山憑夢遠。河漢近人明。壽閤。 玄陸天心啓。黃鍾地籟鳴。梅寒橫月白。葭煖動灰輕。吉周。 改火蒼槐鑽。供餐赤豆烹。曆時催轉換。雲物喜澄淸。對詠酬佳節。還忘老客情。睡翁。</text>
<title>次杜</title>,<text>天末西風起。寒雲萬里開。梅憐高士別。鶴想故人來。已足元和釀。寧須小麴杯。山川蕭瑟裏。坐驗一陽廻。</text>
<title>次唐人江村</title>,<text>霜落秋江月滿船。魚龍寂寂五更眠。夢入桃花源裏去。却忘身在白鷗邊。</text>
<title>次唐絶韻</title>,<text>菊花潭水綠。茅屋似仙家。寂寂重門掩。空庭花影斜。</text>
<title>次陸訪客</title>,<text>騎牛林下路。瀟灑到柴門。魚戲溪風細。鸎啼野日暄。子眞歸谷口。元亮卜南村。相笑催鷄黍。慇懃供夜飧。</text>
<title>次陸夕雨</title>,<text>山雲迷日暮。寒雨入荊扉。逐霧林間駐。隨風野外歸。鶴凉愁皓袂。鸎濕惜金衣。高臥疎聲裏。幽情故不違。</text>
<title>次韻</title>,<text>坐看返照入林間。倦鳥愁寒已早還。天涯歲暮多歸思。風滿高樓月滿山。</text>
<title>次唐人夜飮</title>,<text>金樽瀲灧一宵歡。紅葉靑霜戶外寒。天邊有月隨人至。猶帶吳江舊影看。</text>
<title>次陸夜意</title>,<text>夜坐喧囂息。心神靜自凝。徒然餘志氣。其奈乏才能。鼎裏交龍虎。胷中絶火氷。悠悠忽成夢。冉冉泰階升。</text>
<title>次陸盆池</title>,<text>拳石橫山影。浮萍點錦紋。細吹魚引隊。淺浴鳥呼羣。妙在觀波浪。鉅寧求夢雲。綠荷更堪把。芳馥濕衣巾。</text>
<title>次杜 二首</title>,<text>天冷月添色。雪晴雲散陰。空庭人影絶。小院鶴眠深。燭暈寒仍結。笳聲凍欲沉。羇窓驚歲暮。倦夢度長林。歲晩多衰疾。三旬不上亭。千峰兼雪白。萬樹獨松靑。邑僻無更皷。宵分占斗星。客愁難自遣。全付夢中經。</text>
<title>次杜韻。送徐僉使有用往楊州衙中。辛未</title>,<text>相看還不語。旅舘又離筵。水落龍飛後。橋長鶴影邊。官僮猶惜別。更鼓莫催傳。聚散非人力。難容借半年。</text>
<title>呼韻共賦</title>,<text>隴山冬不雪。淸絶愧梁園。庭鶴關心舞。林禽得意喧。始知春入室。復有月臨門。吏退歌娥去。寒笳已報昏。</text>
<title>拈唐韻</title>,<text>天上元宵月色多。銀河澹澹欲生波。胷裏輪囷千古事。搔頭欲問老嫦娥。</text>
<title>呼韻 十六首</title>,<text>遣夜憑詩卷。扶衰付藥籠。寒聲來遠磬。淸響出孤桐。偏愛天邊月。深憎戶外風。寥寥春意晩。幾日問農功。不敎風動箔。只許月窺窓。林靜安棲鳥。村閒寂吠狵。客眠如薄霧。歸意似長江。脉脉還相忘。寥寥對壁釭。壯氣隨年減。胷中尙有奇。醉醒憐薄酒。勝敗笑枯棋。古道迷靑草。空山長紫芝。閉門深臥處。與世兩忘之。疎狂寡相合。老去絶招呼。欣看寒梅淨。和吟老鶴癯。愁多頭上帽。靜劇手中珠。好伴終難忘。時尋鏡裏吾。久失林泉路。埋頭十丈埃。功名非我計。狂簡更誰裁。壁劒憐無用。園樗愛不才。鄕山催歲月。何事此遲徊。山徑緣溪轉。何時到水源。波平方覺闊。峰拔自爲尊。微雪牛蹄沒。孤雲鶴背捫。躊躇看物色。春氣漸晴溫。雲集西風歇。開簾倚曲欄。仰看飛白雪。回顧失靑巒。南畝憂方釋。東軒意暫寬。眼前橫大道。行路不知難。膳羞列甘毳。羅綺競嬋娟。縱似淸齋衲。難同却食蟬。居官經歲五。歸橐得詩千。弦誦無新化。饑荒愧俸錢。園亭高十丈。雲氣宿簷茅。月上笳初動。風來磬自敲。租錢愁蔀屋。粱肉愧官庖。空望江湖路。任敎鷗鷺嘲。越女傾天下。風流獨擅嘉。香腮蓮吐粉。纖指玉抽芽。雙扇三生重。千金一笑誇。誰知百媚者。卽是鳩盤茶。二月猶搖落。寒氷積疊崗。峰雲生皛皛。林日下荒荒。吏退行如鶩。僮閒睡似羊。懷人歌一曲。悵望水中央。新泉月波淨。弱草露華凝。盤果傳山客。床經借野僧。倦棲歸鳥好。亂啄噤烏憎。獨立觀羣物。欣欣氣自乘。耶溪多綵女。芳思在流眸。穠臉調花粉。纖眉畫月鉤。見人廻桂棹。隔水發蓮謳。或恐嫣娟裏。猶餘覇越謀。隨柳過橋畔。看雲到水潯。三春廻百里。一雨抵千金。芳草偏宜坐。淸泉亦可斟。長歌仍大笑。狂態自難禁。客游年已五。新歲月將三。澹水開明鏡。晴烟蘸淺藍。愛閒仍睡渴。戒得更詩貪。從此渾無累。始知身作男。獨坐高樓上。悠然永日淹。月光明似素。雲氣薄如縑。籠藥憐多病。盤飧愧不廉。羅山靑萬丈。屹立兩相瞻。</text>
<title>次農巖先生韻</title>,<text>高樓百尺帶淸溪。雨過明沙洗草泥。座逐䲶鴦臨柳潊。筇隨蛺蝶入花蹊。風來平野連天闊。雲出羣巒繞郭齊。晝漏如年簾閣靜。一廻棊罷更琴携。</text>
<title>次右丞終南山韻</title>,<text>磅礴崑崙脉。逶迤渤海隅。神仙在處在。雲霧無時無。林壑千重合。巖巒萬狀殊。秖憎藏捷徑。顚倒走貪夫。</text>
<title>楊牧送人求鶴。送鶴兼寄一絶。徐令表民。時牧楊州。</title>,<text>楊州刺史帶腰錢。又向隴西求鶴還。春風起送園中翮。何似開籠放白鷳。</text>
<title>擬唐人樂遊原晴望</title>,<text>木落天高老眼淸。西風吹袂一筇輕。黃花漢苑秋霜重。紅葉秦陵返照明。雙闕樓臺通御氣。萬家砧杵送寒聲。狂歌獨酌金樽酒。渭水終南月影生。</text>
<title>擬右丞送人遊蜀</title>,<text>離筵秋夜短。酒盡曉星稀。馬向城西路。鷄鳴水北扉。秦雲懸客夢。巴雪拂征衣。老去親朋少。含盃待子歸。</text>
<title>次農巖韻</title>,<text>遲遲春日坐山亭。南郭神遊入窅冥。我有所思心似旆。人無可語口如甁。千家返照紅連樹。百草新芽綠滿庭。衰病不禁歸意切。何來風笛動愁聽。</text>
<title>三日拈唐韻</title>,<text>賞春幾處奏笙歌。佳節寥寥隴外過。峽雨知時花信近。溪烟生色柳條多。關關幽鳥啼深樹。潑潑纖魚戲暖波。遙憶故園風月老。霜顚潦倒不歸何。</text>
<title>次簡易漢江</title>,<text>隴西作得小巾車。驅向東湖意遂初。樓外伴眠沙上鷺。磯頭坐看浪中魚。桐江誰學嚴陵釣。鏡水人傳賀老居。地僻百年相顧樂。優游好過此生餘。</text>
<title>次東坡紅梅</title>,<text>桃李寥寥花信遲。芳華獨擅早春時。嬋娟色剩風流態。孤潔香存淡泊姿。西子新妝均玉面。楊妃微醉露氷肌。紅雲絳雪飛千片。擎出瓊林第一枝。</text>
<title>三月九日。伯氏生朝也。曉枕不勝悵慕。聊吟。</title>,<text>雉嶽龍泉路半千。玆辰離阻已三年。談笑依依終夜夢。朝來東望坐茫然。</text>
<title>次牧隱晨行望海</title>,<text>扶桑初喚老鷄聲。海氣蒼茫混太淸。鳧鶴汀洲無近遠。魚龍窟宅未分明。波鳴斷岸秋風急。潮落平沙曉霧晴。立馬佇看紅日出。蓬壺東望不勝情。</text>
<title>次杜</title>,<text>一氣如烟霧。空濛擁樹林。柳黃猶帶淺。溪碧已添深。卷幔羣巒出。登樓遠客吟。幽禽啼不歇。似解惜春心。</text>
<title>竹枝詞。效晩唐體。</title>,<text>江南三月雨霏霏。江北行人歸不歸。爭唱竹枝歌未了。東風花落鷓鴣飛。</text>
<title>自東至咸。各命題共賦。三十首</title>,<text>衰草荒垣舊麗宮。崧山佳氣掃秋空。樓臺寂寞鳴寒雨。禾黍凄凉起晩風。王業三千水流外。年光五百鳥聲中。石燈金狗渾無賴。落照空餘一抹紅。右滿月臺懷古長川一道劈蒼峰。飛過千尋壁上松。倏看素霓淸漢飮。翻驚白雨怒濤舂。懸流直下雲相逐。轟響深蟠壑幾重。濕盡衣巾臨瀨坐。時聞潭底有吟龍。右朴淵觀瀑淸流壁下繞淸江。上有高樓闢八窓。島樹風微帆掛半。汀花日暖鳥飛雙。麒麟古窟留神跡。錦繡佳山鎭舊邦。形勝千年歌舞地。烟波不盡酒盈缸。右浮碧樓隴柳淸明綠欲遲。淡黃生色夕陽時。行成短郭緣溪繞。陰護征人擁路垂。雨細何枝不繫馬。烟深幾日可藏鸝。更憐萬種風流態。都入琴娥曲裏移。右長林柳色江風引雨入柴扉。獨坐書樓客到稀。暗濕柳堤還澹蕩。細添桃浪正霏微。魚貪新水衝波上。燕愛輕泥蹴沫飛。一色空濛人不見。靑簑緩棹獨舟歸。右漢津對雨春光先得雪殘初。素萼靑枝日漸舒。皎皎寧嫌少嬌艶。亭亭最愛劇淸疎。不禁東閣幽人興。還似西湖處士廬。喬木園中同作伴。天香遠襲百年餘。右南庭春梅 在賢西宅獸炭噓紅小土爐。手煎香茗境虛無。輕寒夜夜仍閒啜。滿酌卿卿更笑呼。新稏功如鼇島草。細烟升作蜃樓圖。秖敎明月來相照。桂露頻添臘雪壺。右靜夜烹茶自古梨花數隴西。洛陽桃李與名齊。白雲攢繞千家徑。素雪飛連十里堤。風送濃香心欲醉。月添佳色眠還迷。舞筵莫惜瓊葩落。端合金蓮踏作泥。右隴西梨花長川一道劈雙崖。急瀑平流萬籟佳。澎湃鳴過紅樹峽。淙琤響出白雲涯。峩洋渾忘霜侵袂。風雨翻驚月滿階。洗耳更聽聲不盡。空臺靜夜瀉幽懷。右琴臺聽泉 淸潭有抱琴臺靈根移得自瑤臺。三色玲瓏一樹開。深淺臙脂均半面。分明氷雪映雙腮。丹砂白玉爭輝散。素女紅姬並袂來。王母千年同片夢。春風何事九旬催。右華城桃花東風吹入漢南濱。樓外江山天氣新。野馬萬絲烟水午。杜鵑千朶粉墻春。紅蒸遠浦頻過雨。綠映明沙不染塵。北陌看花如夢裏。枝間啼鳥賀歸人。右夙夢賞春轅門秋闢點官軍。殺氣驚飛隴鴈羣。翻去弓刀泣神鬼。揮來旌旆動風雲。堂堂陣勢連營見。咽咽笳聲出塞聞。恨未長驅燕薊路。白頭空佩竹符分。右秋日點兵殘城一帶繞官園。白日晴收海氣昬。淡靄依依天際樹。孤煙歷歷野中村。潮歸東浦千帆過。秋入南池百鳥翻。望遠開襟芳草坐。老年爲吏避塵喧。右延州北園晩望木落草枯庭宇寬。黃花獨保歲華闌。傲姿晩帶金風淨。佳色偏凌玉露寒。仙酒釀成年壽飮。幽居採作暮朝餐。淸香孤節雙全美。秖有陶潛解趣看。右東籬秋菊避暑輕籃到碧山。凉風颯颯在林間。尋花小蝶羣飛亂。隔葉幽禽百囀閑。老子吟詩依石壁。佳人舞劒照溪灣。氷盤茗椀炎塵淨。晩引妻兒帶月還。右佛洞避暑 在瑞興綵索迢迢入半天。翠裙飄拂似飛煙。輕軀佳妓新妝妬。妙戲游仙舊俗傳。驚鳥蹴過靑柳上。癡魂引去白雲邊。羣娥扶下嬌無力。平地歸來立竦然。右端陽鞦韆草閣秋生欲永宵。殘螢無數向空飄。坐時孤燭臨黃卷。流處疎星度絳霄。帶月入簾光耿耿。隨風過水影搖搖。紗囊且莫床頭掛。羞照朱顔强半凋。右以觀亭觀螢四月長林綠滿郊。黃鸎來去選煙梢。啼過草色山光際。流入花陰柳影交。但使聲聞翻出谷。不敎身露暗藏巢。白頭吏隱人饒笑。百囀多情似解嘲。右北園聽鶯西山地勢鳥飛豪。客上層臺落木號。四顧蒼茫天際濶。千尋突兀野中高。當時玉帳陪淸蹕。是日銅符泣綠袍。極目風雲空寂寞。悲歌秋晩撫腰刀。右華城西將臺南池六月賞新荷。碧葉紅葩十里波。冉冉偏疑呈妙舞。亭亭似欲發纖歌。含風艶質羞脂粉。照日芳華妬綺羅。醉臥空濛香霧裏。西湖佳麗讓無多。右南池賞蓮亭外橋頭駐小車。前川春晩爛芳華。綠饒渭北煙絲柳。紅重河陽錦繡花。繞郭陰垂朱栱逈。臨溪香擁畫欄斜。靑龍噴水聲悲壯。舊事蒼茫散夕霞。右訪花隨柳亭 在華城豪竹轟絲響滿堂。羅衣綺席映春光。歌聲嫋嫋靑雲合。舞袖翩翩白日長。幽鳥嬌啼和妙譜。穠花競發妬新妝。曲終復聽吟佳句。客醉氤氳口氣香。右東閣聽樂春溪魚樂問莊生。日暖風微石瀨淸。吹浪自來仍自去。逐花相戲忽相驚。不貪芳餌潭心伏。也慣閑顔水面行。靜看同歸氣化裏。鯈鯤到此摠忘名。右枕漱觀魚 淸潭。有枕漱臺。城頭高出練光亭。佳麗江山一色靑。淡靄朦朧春水岸。晴烟窈窕夕陽汀。提籠浣女沙邊見。橫笛漁人檻外聽。看弄澄波開玉鏡。還羞鬢髮映星星。右練光亭萬片寒雲一色凝。荒郊積雪正侵凌。彌天散落崐山玉。滿地平鋪渤海氷。游子愁尋林徑合。飛禽迷失樹栖層。願將遍飮名塲客。熱戰心胷盡洗澄。右平野對雪盈盈春水浿江洲。二月風輕放畫舟。怳惚境移壺裏闢。分明身在鏡中遊。牙檣永日浮丹嶼。錦纜斜陽向碧樓。往事蒼茫爭指點。朝天老石臥寒流。右大同江泛舟洞府寥寥月滿林。澄潭夜氣四更深。蕭森霧罷千峰色。虛曠烟開萬壑陰。淸影長隨雲出境。寒光不競水流心。泠然頓覺衣巾冷。更約灘聲奏素琴。右雲樓看月 淸潭。有臥雲樓。寒霜昨夜落澄潭。千樹新紅積翠南。雲護枝枝丹鳳舞。風翻葉葉火龍含。繚縈壁面還添繡。映帶翁顔已半酣。凭檻却疑楓嶽裏。蓬萊秋色入淸談。積翠岡名。右潭樓觀楓佳人抱瑟傍朱簾。慢攏輕撚十指尖。花霧濛濛紅頰映。香烟嫋嫋素絃沾。彈時流眼秋波淨。停處低眉春柳纖。日暮曲終歌亦歇。新詩更有錦心添。右歌妓彈瑟下上乘流不掛帆。一聲漁笛響蒼巖。獨歸柳渚輕搖櫓。更向花洲遠拂衫。鷗鷺欣迎新契社。魚龍好忘舊官銜。沿洄晩泊高亭下。墻外陰陰列檜杉。右鷗湖舟遊</text>
